,name,name_ticker,lenticker,description
836,MacroCure,mcur,4.0,
837,MacroGenics,MGNX,4.0,"MacroGenics, Inc., a biopharmaceutical company, discovers and develops antibody-based therapeutics to treat cancer in the United States. The company's approved product is MARGENZA (margetuximab-cmkb), a human epidermal growth factor receptor 2 (HER2) receptor antagonist indicated, in combination with chemotherapy, for the treatment of adult patients with metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 regimens. Its pipeline of immuno-oncology product candidates includes Margetuximab, a monoclonal antibody, which is in Phase II/III clinical trial for the treatment of breast and gastroesophageal cancers. The company is also developing Flotetuzumab, a DART molecule that recognizes CD123 and CD3 for treating acute myeloid leukemia; Retifanlimab, an investigational monoclonal antibody targeting metastatic squamous cell carcinoma of the anal canal and metastatic non-small cell lung cancer; Enoblituzumab, a monoclonal antibody that targets B7-H3; and Tebotelimab, an investigational tetravalent DART molecule for PD-1 and lymphocyte-activation gene 3. In addition, it is developing MGC018, an antibody drug conjugate (ADC), which targets solid tumors expressing B7-H3; MGD019, a monoclonal antibody that targets the immune checkpoints PD-1 and cytotoxic T-lymphocyte-associated protein 4; and IMGC936, an ADC that targets ADAM9, a cell surface protein over-expressed in various solid tumor types. Further, the company's non-immuno-oncology clinical product candidates include MGD014, a DART molecule to target the envelope protein of human immunodeficiency virus infected cells and T cells; Teplizumab for the treatment of type 1 diabetes; and PRV-3279, a CD32B Ã CD79B DART molecule for the treatment of autoimmune indications. It has collaborations with Incyte Corporation; Zai Lab Limited; I-Mab Biopharma; Janssen Biotech, Inc.; and Alligator Bioscience AB (publ). The company was incorporated in 2000 and is headquartered in Rockville, Maryland."
839,Magic Software Enterprises,mgic,4.0,"Magic Software Enterprises Ltd. provides proprietary application development, business process integration, vertical software solutions, and information technologies (IT) outsourcing software services in Israel and internationally. The company's Software Services segment develops, markets, sells, and supports application platform, software applications, and business and process integration solutions and related services. Its IT Professional Services segment offers IT services in the areas of infrastructure design and delivery, application development, technology planning and implementation services, communications services and solutions, and supplemental outsourcing services. The company offers proprietary application platforms, such as Magic xpa for developing and deploying business applications; AppBuilder for building, deploying, and maintaining high-end and mainframe-grade business applications; Magic xpi for application integration; Magic xpc, a hybrid integration platform as a service; Magic SmartUX, a mobile development application platform; and FactoryEye for virtualization of production data. It also provides vertical software solutions comprising Clicks, a software solution for healthcare providers; Leap, a software solution for business support systems; Hermes Solution, a packaged software solution for managing air cargo ground handling; HR Pulse, a customized single-tenant software as a service tool; and MBS Solution, a proprietary system for managing TV broadcast management. In addition, the company provides software maintenance, support, training, and consulting services. It serves oil and gas, telecommunications, financial, healthcare, and industrial sectors; and public institutions and international agencies. The company was formerly known as Mashov Software Export (1983) Ltd. and changed its name to Magic Software Enterprises Ltd. in 1991. Magic Software Enterprises Ltd. was incorporated in 1983 and is headquartered in Or Yehuda, Israel."
842,MainStreet Bank,mnsb,4.0,"MainStreet Bancshares, Inc. operates as the bank holding company for MainStreet Bank that provides various banking products and services for individuals, small to medium-sized businesses, and professional service organizations primarily in Northern Virginia and the greater Washington, the District of Columbia metropolitan area. The company offers demand, NOW, money market, savings, and sweep accounts, as well as certificates of deposit; business and consumer checking, interest-bearing checking, business account analysis, and other depository services; and cash management, wire transfer, check imaging, remote deposit capture, and courier services. It also provides commercial loans, including government contract receivables, plant and equipment, general working capital, contract administration, and acquisition loans; commercial real estate, real estate construction, and residential real estate loans; and consumer loans comprising car loans, term loans, credit cards, and overdraft protection. In addition, the company provides payment service and deposit insurance solutions; remote deposit of checks; and internet bill payment, online cash management, and online and mobile banking services. It operates through a network of seven branches located in Herndon, Fairfax, Fairfax City, McLean, Clarendon, and Leesburg, Virginia, and one branch in Washington, the District of Columbia; and provides automated teller machine transaction services at approximately 55,000 locations in the United States, Canada, the United Kingdom, and Mexico. MainStreet Bancshares, Inc. was incorporated in 2003 and is headquartered in Fairfax, Virginia."
843,MakeMyTrip.com,MMYT,4.0,"MakeMyTrip Limited, an online travel company, sells travel products and solutions in India, the United States, Singapore, Malaysia, Thailand, the United Arab Emirates, Peru, Colombia, and Indonesia. The company operates through three segments: Air Ticketing, Hotels and Packages, and Bus Ticketing. Its services and products include air tickets; hotels; packages; rail tickets; bus tickets; and car hire, as well as ancillary travel requirements, such as visa processing and facilitating access to travel insurance. The company allows travelers to research, plan, book, and purchase travel services and products through its Websites makemytrip.com, goibibo.com, redbus.in, makemytrip.com.sg, and makemytrip.ae; and other technology-enhanced distribution channels, such as call centers, travel stores, and travel agents' network, as well as mobile service platform. As of March 31, 2021, it had approximately 150 franchisee-owned travel stores. The company serves leisure and corporate travelers. MakeMyTrip Limited was incorporated in 2000 and is based in Gurugram, India."
844,Manitex International,MNTX,4.0,"Manitex International, Inc. provides engineered lifting solutions in the United States, Italy, Canada, France, Chile, and internationally. It designs, manufactures, and distributes products that are used in various industries. The company also offers boom trucks, truck cranes, and sign cranes products primarily for use in industrial projects, energy exploration, and infrastructure development comprising roads, bridges, and commercial construction. In addition, it manufactures and sells rough terrain cranes and material handling products for construction, municipality, and railroad industries; truck mounted hydraulic knuckle boom cranes; and shipping articulated cranes. The company provides its products under the Manitex, PM, MAC, PM-Tadano, Oil & Steel, Badger, and Valla brands. It also sells its products through dealers and rental distribution channel. The company was formerly known as Veri-Tek International, Corp. and changed its name to Manitex International, Inc. in May 2008. Manitex International, Inc. was founded in 1993 and is headquartered in Bridgeview, Illinois."
845,MannKind Corporation,MNKD,4.0,"MannKind Corporation, a biopharmaceutical company, focuses on the development and commercialization of inhaled therapeutic products for endocrine and orphan lung diseases in the United States. The company offers Afrezza, an inhaled insulin used to improve glycemic control in adults with diabetes. It also promotes Thyquidity used for the treatment of hypothyroidism. The company has a license and collaboration agreement with United Therapeutics Corporation for the development and commercialization of a dry powder formulation of Treprostinil (Tyvaso DPI) used for the treatment of pulmonary arterial hypertension; and Thirona Bio to evaluate the therapeutic potential of TGF-Ã inhibitor for the treatment of pulmonary fibrosis. MannKind Corporation was incorporated in 1991 and is headquartered in Westlake Village, California."
846,Marathon Patent Group,MARA,4.0,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc. and changed its name to Marathon Digital Holdings, Inc. in February 2021. Marathon Digital Holdings, Inc. was founded in 2010 and is headquartered in Las Vegas, Nevada."
847,Marin Software,MRIN,4.0,"Marin Software Incorporated, together with its subsidiaries, provides enterprise marketing software for advertisers and agencies in the United States, the United Kingdom, and internationally. It offers MarinOne, a search, social, and eCommerce advertising platform; Marin Search to manage advertising campaigns for advertisers and agencies; and Marin Social that enables advertisers to manage their Facebook, Instagram, and Twitter advertising, as well as managed services. The company markets and sells its solutions to advertisers directly, and through advertising agencies that use its platform on behalf of their customers. Marin Software Incorporated was incorporated in 2006 and is headquartered in San Francisco, California."
849,Marinus Pharmaceuticals,MRNS,4.0,"Marinus Pharmaceuticals, Inc., a clinical stage pharmaceutical company, focuses on developing and commercializing therapeutics to treat rare seizure disorders. Its clinical stage product candidate, ganaxolone, is an allosteric modulator of GABAA, developed in formulations for two routes, including intravenous (IV) and oral for adult and pediatric patient populations in acute and chronic care, and in-patient and self-administered settings. The company's ganaxolone product candidate, acts at synaptic and extrasynaptic GABAA receptors, a target for its anti-seizure, antidepressant, and anxiolytic potential. It is developing ganaxolone for status epilepticus, cyclin dependent kinase like 5 deficiency disorder, PCDH19-related epilepsy, tuberous sclerosis complex, and postpartum depression. Marinus Pharmaceuticals, Inc. has license agreement with Purdue Neuroscience Company and CyDex Pharmaceuticals, Inc. The company was incorporated in 2003 and is headquartered in Radnor, Pennsylvania."
850,Marketo,mkto,4.0,
851,Markit,INFO,4.0,"IHS Markit Ltd. provides critical information, analytics, and solutions for various industries and markets worldwide. The company's information, analytics, and solutions enhance operational efficiency and offer deep insights for customers in business, finance, and government. Its Financial Services segment offers pricing and reference data, indices, valuation and trading services, trade processing, enterprise software, and managed services to traders, portfolio managers, risk managers, research professionals, and other financial market participants, as well as operations, compliance, and enterprise data managers. The company's Transportation segment provides authoritative analysis; sales and production forecasts for light vehicles, medium and heavy commercial vehicles, powertrains, components, and technology systems; performance measurement and marketing tools for carmakers, dealers, and agencies; predictive analytics and marketing automation software; and critical information for used car dealers and their customers in the used car buying process. It also offers comprehensive data on ships, and monthly import and export statistics. The company's Resources segment provides upstream services, including technical information, analytical tools, and market forecasting and consulting for the upstream industry; and downstream information, such as market forecasting, midstream market analysis and supply chain data, refining and marketing economics, and oil product pricing information for the chemical, refined products, agriculture, and power industries. The company's Consolidated Markets & Solutions segment provides discovery technologies, research tools, and software-based engineering decision engines; economic and risk data and analytics, forecasts, and scenario tools; and performance and cost benchmarking analysis for technology, media, and telecom industry. IHS Markit Ltd. was founded in 1959 and is headquartered in London, the United Kingdom."
852,Marrone Bio Innovations,MBII,4.0,"Marrone Bio Innovations, Inc. discovers, develops, produces, and promotes biological products for pest management, plant nutrition, and plant health in the United States and internationally. Its products include Emergen, Foramin, Foramin ST, Pacesetter, UBP, and UBP ST for increasing crop health, yield, and quality; Grandevo, a bioinsecticide that controls sucking and chewing insects through feeding; Haven, a plant health product to reduce sun stress and dehydration; Jet-Ag and Jet-Oxide peroxyacetic acid sanitizers that prevent, suppress, eliminate, and control algae, fungi, and bacterial diseases in agriculture and horticultural industries; and Majestene, a bionematicide to control soil-dwelling nematodes and certain soil borne insects. The company also offers Regalia and Stargus, which are bio fungicides that protects against fungal and bacterial diseases and enhances yields/quality; Venerate, a bioinsecticide, which controls chewing and sucking insects and mites, as well as flies and plant parasitic nematodes; and Zelto, a bionematicide that protects turf, including golf course fairways and greens, and promotes turf health by enhancing plant and root health. The company provides its products directly through sales force, as well as through distributors and other commercial partners. The company formerly known as Marrone Organic Innovations, Inc. Marrone Bio Innovations, Inc. was incorporated in 2006 and is headquartered in Davis, California."
853,Materialise,MTLS,4.0,"Materialise NV provides additive manufacturing and medical software, and 3D printing services in the Americas, Europe and Africa, and the Asia-Pacific. It operates through three segments: Materialise Software, Materialise Medical, and Materialise Manufacturing. The Materialise Software segment offers software through programs and platforms that enable and enhance the functionality of 3D printers and of 3D printing operations. Its software interfaces between various types of 3D printers; and various software applications and capturing technologies, including computer-aided design/computer-aided manufacturing packages and 3D scanners. This segment serves 3D printing machine manufacturers; production companies and contract manufacturers in automotive, aerospace, consumer goods, and hearing aid industries; and 3D printing service bureaus through its sales force, Website, and third-party distributors. The Materialise Medical segment provides medical software that allows medical-image based analysis and engineering, as well as patient-specific design of surgical devices and implants. It serves medical device companies, hospitals, universities, research institutes, and industrial companies through its direct sales force, Website, and picture archiving and communication system partners. The Materialise Manufacturing segment provides 3D printing services, design and engineering services, and rapid prototyping and additive manufacturing of production parts to industrial and commercial customers. The company has collaboration agreements with Zimmer Biomet Holdings, Inc.; Encore Medical, L.P.; DePuy Synthes Companies of Johnson & Johnson; Limacorporate Spa; Mathys AG; Corin Ltd; Medtronic Inc.; and Abbott Laboratories Inc. Materialise NV was incorporated in 1990 and is headquartered in Leuven, Belgium."
855,Mattersight,matr,4.0,
856,Maximus,MMS,3.0,"Maximus, Inc. provides business process services (BPS) to government health and human services programs. It operates through three segments: U.S. Services, U.S. Federal Services, and Outside the U.S. The U.S. Services segment offers various BPS solutions, such as program administration, appeals and assessments, and related consulting works for U.S. state and local government programs, including the Affordable Care Act, Medicaid, the Children's Health Insurance Program, Temporary Assistance to Needy Families, child support programs, Preadmission Screening and Resident Reviews, and Independent Developmental Disability assessments. This segment also provides program eligibility support and enrollment; centralized multilingual customer contact centers, multichannel, and digital self-service options for enrollment; application assistance and independent health plan choice counseling; beneficiary outreach, education, eligibility, enrollment, and redeterminations; person-centered independent disability, long-term sick, and other health assessments; and specialized consulting services. The U.S. Federal Services segment offers centralized citizen engagement centers and support services; document and record management; case management, citizen support, and consumer education; independent medical reviews and worker's compensation benefit appeals; Medicare and Medicaid appeals; and federal marketplace eligibility appeals. This segment also provides modernization of systems and information technology infrastructure; infrastructure operations and support services; software development, operations, and management services; and data analytics services. The Outside the U.S. segment offers BPS solutions for governments and commercial clients outside the United States, including health and disability assessments, program administration for employment services, and other job seeker-related services. The company was incorporated in 1975 and is headquartered in Reston, Virginia."
857,MaxLinear,MXL,3.0,"MaxLinear, Inc. provides radiofrequency (RF), high-performance analog, and mixed-signal communications systems-on-chip solutions (SoCs) for the connected home, wired and wireless infrastructure, and industrial and multi-market applications worldwide. Its products integrate various portions of a high-speed communication system, including radiofrequency (RF), high-performance analog, mixed-signal, digital signal processing, security engines, data compression, networking layers, and power management. The company offers broadband radio transceiver front ends, data converters, embedded systems and software architecture, and architecture and system design for highly integrated end-to-end communication platform solutions. Its products are used in various electronic devices, such as cable data over cable service interface specifications (DOCSIS), fiber and DSL broadband modems and gateways; Wi-Fi and wireline routers for home networking; radio transceivers and modems for 4G/5G base-station and backhaul infrastructure; and fiber-optic modules for data center, metro, and long-haul transport networks, as well as power management and interface products. It serves electronics distributors, module makers, original equipment manufacturers (OEMs), and original design manufacturers (ODMs) through a direct sales force, third-party sales representatives, and a network of distributors. MaxLinear, Inc. has a collaboration with Facebook Connectivity to integrate silicon technologies and radio processing algorithms into Evenstar radio units. The company was founded in 2003 and is headquartered in Carlsbad, California."
860,MCK Communications,mck,3.0,"McKesson Corporation provides healthcare supply chain management, retail pharmacy, community oncology and specialty care, and healthcare information solutions in the United States and internationally. It operates through four segments: U.S. Pharmaceutical, International, Medical-Surgical Solutions, and Prescription Technology Solutions (RxTS). The U.S. Pharmaceutical segment distributes branded, generic, specialty, biosimilar, and over-the-counter pharmaceutical drugs and other healthcare-related products. This segment also provides practice management, technology, clinical support, and business solutions to community-based oncology and other specialty practices; and consulting, outsourcing, technological, and other services, as well as sells financial, operational, and clinical solutions to pharmacies. The International segment offers distribution and services to wholesale, institutional, and retail customers in 13 European countries and Canada. The Medical-Surgical Solutions segment provides medical-surgical supply distribution, logistics, and other services to healthcare providers. The RxTS segment offers CoverMyMeds solution to help patients get the medications; RelayHealth, a workflow solution; RxCrossroads solution for therapies and interventions to biopharma manufacturers; and McKesson Prescription Automation, a customized pharmacy automation technology; and Multi-Client Central Fill as a Service, a pharmacy. McKesson Corporation was founded in 1833 and is headquartered in Irving, Texas."
865,Medical Cannabis Payment Solutions,REFG,4.0,"Medical Cannabis Payment Solutions, Inc. develops and markets a payment system for medical cannabis transactions. Its solution assists in the state tracking of sales, collection of tax, and supervision of sales to consumers. The company was incorporated in 2013 and is based in Cheyenne, Wyoming."
866,MediciNova,MNOV,4.0,"MediciNova, Inc., a biopharmaceutical company, focuses on developing novel and small molecule therapeutics for the treatment of serious diseases with unmet medical needs in the United States. The company is developing MN-166 (ibudilast), an oral anti-inflammatory and neuroprotective agent for treating neurological disorders, such as primary and secondary progressive multiple sclerosis, amyotrophic lateral sclerosis, chemotherapy-induced peripheral neuropathy, degenerative cervical myelopathy, glioblastoma, and substance dependence and addiction. Its product pipeline also includes MN-221 (bedoradrine), a selective beta-2-adrenergic receptor agonist for the treatment of acute exacerbations of asthma; MN-001 (tipelukast), an orally bioavailable small molecule compound to treat fibrotic diseases, including nonalcoholic steatohepatitis and idiopathic pulmonary fibrosis; and MN-029 (denibulin), a tubulin binding agent for treating solid tumor cancers. The company has a collaboration agreement with BioComo and Mie University for joint development of a SARS-CoV-2 vaccine. MediciNova, Inc. was founded in 2000 and is headquartered in La Jolla, California."
867,Medigus,MDGS,4.0,"Medigus Ltd., a medical device company, develops, produces, and markets minimally invasive endo-surgical tools with direct visualization technology in the United States, the United Kingdom, Europe, Asia, and internationally. It offers Medigus Ultrasonic Surgical Endostapler, an endoscopy system, which is used for the treatment of gastroesophageal reflux disease. The company also develops biological gels to protect patients against biological threats and reduce the intrusion of allergens and viruses through the upper airways and eye cavities. In addition, it develops, markets, and distributes software for internet users; develops and commercializes online and offline event planning software, as well as ticketing solutions; and operates online stores for the sale of various consumer products on the Amazon online marketplace. The company was incorporated in 1999 and is headquartered in Omer, Israel."
869,MediWound,MDWD,4.0,"MediWound Ltd., a biopharmaceutical company, develops, manufactures, and commercializes novel and bio-therapeutic solutions for tissue repair and regeneration. It markets NexoBrid, a biopharmaceutical product for the removal of eschar, a dead or damaged tissue in adults with deep partial- and full-thickness thermal burns to burn centers and hospitals burn units. The company also develops EscharEx, which has completed Phase II clinical trials for the debridement of chronic and other hard-to-heal wounds; MWPC005, a topically applied biological drug candidate that is in Phase I/II clinical trial for the treatment of non-melanoma skin cancers; and MWPC003 for connective tissue disorders. MediWound Ltd. was founded in 2000 and is headquartered in Yavne, Israel."
870,Medmira,MIR.V,5.0,"MedMira Inc., a biotechnology company, researches, develops, manufactures, and commercializes rapid diagnostics and technology platforms in North America, Latin America, the Caribbean, Europe, and the Asia Pacific. The company's research is focused on specific areas of the diagnostics market, such as rapid, point-of-care, and in vitro sectors. It offers Reveal HIV that detects antibodies to HIV-1 and HIV-2 in whole blood, serum, or plasma; and Reveal HP, a rapid H. Pylori antibody test, which detects helicobacter pylori (HP) antibodies in serum, plasma, or whole blood produced in response to HP infection. The company also provides Reveal TP, a rapid syphilis antibody test that detects treponema pallidum antibodies in serum, plasma, or whole blood; Multiplo, a line of multiplex tests, including combination testing solutions for HIV-1/2, Hepatitis B and C, and Syphilis; and REVEALCOVID-19, an antibody test. In addition, it offers Miriad RVF toolkit that facilitates the development and commercialization of rapid diagnostics. MedMira Inc. sells its products through a network of medical distributors and strategic business development partners to customers in various sectors of the healthcare industry, including laboratories, hospitals, point-of-care clinics, governments, aid organizations, and public health agencies. The company was founded in 1993 and is headquartered in Halifax, Canada. MedMira Inc. is a subsidiary of MedMira Holding AG."
871,MEDNAX,MD,2.0,"MEDNAX, Inc., together with its subsidiaries, provides newborn, maternal-fetal, pediatric cardiology, and other pediatric subspecialty care services in the United States and Puerto Rico. It offers neonatal care services, such as clinical care to babies born prematurely or with complications within specific units at hospitals through neonatal physician subspecialists, neonatal nurse practitioners, and other pediatric clinicians. The company also provides maternal-fetal care services, including inpatient and office-based clinical care to expectant mothers and unborn babies through affiliated maternal-fetal medicine subspecialists, as well as obstetricians and other clinicians, including maternal-fetal nurse practitioners, certified nurse mid-wives, ultrasonographers, and genetic counselors. In addition, it offers pediatric cardiology care services comprising inpatient and office-based pediatric cardiology care of the fetus, infant, child, and adolescent patient with congenital heart defects and acquired heart disease, as well as adults with congenital heart defects through affiliated pediatric cardiologist subspecialists and other related clinical professionals; and specialized cardiac care to the fetus, neonatal and pediatric patients. Further, the company provides other pediatric subspecialty care services through pediatric subspecialists, such as pediatric intensivists, pediatric hospitalists, pediatric surgeons, and pediatric ophthalmologists, as well as pediatric ear, nose, and throat physicians; and support services in the areas of hospitals, primarily in the pediatric emergency rooms, labor and delivery areas, and nursery and pediatric departments. As of March 16, 2021, it operated a network of approximately 2,300 physicians. The company was founded in 1979 and is based in Sunrise, Florida."
872,Medtech SAS,MTACU,5.0,"MedTech Acquisition Corporation does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in New York, New York."
873,MEI Pharma,meip,4.0,"MEI Pharma, Inc., a late-stage pharmaceutical company, focuses on the development and commercialization of various therapies for the treatment of cancer. The company develops Zandelisib, an oral phosphatidylinositol 3-kinase delta inhibitor that is in Phase III clinical trial for the treatment of patients with relapsed/refractory follicular lymphoma, as well as in Phase Ib multi-arm trial to treat B-cell malignancies; and Voruciclib, an oral cyclin-dependent kinase 9 inhibitor, which is in Phase Ib clinical trial for acute myeloid leukemia and B-cell malignancies. It also develops ME-344, a mitochondrial inhibitor targeting the oxidative phosphorylation complex that is in Phase I clinical trial for the treatment of human epidermal growth factor receptor 2 negative breast cancer; and Pracinostat, an oral available histone deacetylase inhibitor, which is in Phase II clinical trial to treat patients with myelodysplastic syndrome. MEI Pharma, Inc. has a license, development, and commercialization agreement with Kyowa Kirin Company; a clinical collaboration with BeiGene, Ltd.; a license, development, manufacturing, and commercialization agreement with Helsinn Healthcare SA; and a license agreement with Presage Biosciences, Inc. The company was formerly known as Marshall Edwards, Inc. and changed its name to MEI Pharma, Inc. in July 2012. MEI Pharma, Inc. was incorporated in 2000 and is headquartered in San Diego, California."
875,MELA Sciences,SSKN,4.0,"STRATA Skin Sciences, Inc., a medical technology company, develops, commercializes, and markets products for the treatment of dermatologic conditions in the United States, Europe, the Middle East, Asia, Australia, South Africa, and Central and South America. The company operates in two segments, Dermatology Recurring Procedures and Dermatology Procedures Equipment. Its products include XTRAC excimer laser and VTRAC lamp systems that are used for the treatment of psoriasis, vitiligo, atopic dermatitis, eczema, and other skin disorders. The company distributes its products internationally through distributors, and domestically directly to physicians. The company was formerly known as MELA Sciences, Inc and changed its name to STRATA Skin Sciences, Inc. in January 2016. STRATA Skin Sciences, Inc. was incorporated in 1989 and is based in Horsham, Pennsylvania."
877,MEMC Electronic Materials,t,1.0,"AT&T Inc. provides telecommunication, media, and technology services worldwide. The company operates through Communications, WarnerMedia, and Latin America segments. The Communications segment offers wireless voice and data communications services; video and targeted advertising services; broadband, including fiber, and legacy telephony internet and voice communication; and wireline telecom services. It also sells handsets, wirelessly enabled computers, wireless data cards, and IP-based set-top boxes, as well as various accessories, such as carrying cases and hands-free devices through the company-owned stores, agents, and third-party retail stores. This segment markets its communications services and products under the AT&T, Cricket, AT&T PREPAIDSM, AT&T TV, AT&T Fiber, and DIRECTV brand names. The WarnerMedia segment primarily produces, distributes, and licenses television programming and feature films; distributes home entertainment products in physical and digital formats; and produces and distributes mobile and console games, and consumer products, as well as offers brand licensing services, and advertising services. It also operates cable networks; video on demand streaming platform under the HBO Max and HBO GO names; multichannel pay television services under the HBO and Cinemax; and digital media properties, as well as licenses its content to television networks and over-the-top services. The Latin America segment offers video entertainment and audio programming services under the DIRECTV and SKY brands primarily to residential customers; pay-TV services, including HD sports video content; and postpaid and prepaid wireless services under the AT&T and Unefon brands, as well as sells various handsets through company-owned stores, agents, and third-party retail stores. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas."
879,MEMSIC,MEMS,4.0,
881,Merrimack Pharmaceuticals,mack,4.0,"Merrimack Pharmaceuticals, Inc. operates as a biopharmaceutical company. The company was founded in 1993 and is headquartered in Cambridge, Massachusetts."
884,MetaStat,mtst,4.0,"MetaStat, Inc., a precision medicine company, focuses on discovering and developing therapeutic and diagnostic treatment solutions for cancer patients. The company is developing novel drug candidates and companion diagnostic tests that target the MENA pathway. Its product candidates include MENA diagnostic assay, a tissue-based quantitative immunofluorescence test that measures expression of the pro-metastatic MENA protein splice-variant; companion diagnostic to predict RTK inhibitor drug responses and anti-microtubule drug responses; liquid blood-based biopsy to enhance cancer diagnosis and optimize patient care; MetaSite Breast assay, an immunohistochemistry test that measures micro-anatomical intravasat at blood vessels within the tumor microenvironment ion sites; and prognostic diagnostic to predict risk of cancer metastasis. The company's therapeutic targets a critical metastatic pathway in solid tumors responsible for driving tumor resistance and the spread of aggressive cancer. MetaStat, Inc. is based in Boston, Massachusetts."
887,Micron Technology,mu,2.0,"Micron Technology, Inc. designs, manufactures, and sells memory and storage products worldwide. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Storage Business Unit, and Embedded Business Unit. It offers memory and storage technologies, including DRAM, NAND, NOR, and 3D XPoint memory under the Micron and Crucial brands, as well as through private labels. The company provides memory products for the cloud server, enterprise, client, graphics, and networking markets, as well as for smartphone and other mobile-device markets; SSDs and component-level solutions for the enterprise and cloud, client, and consumer storage markets; other discrete storage products in component and wafer forms for the removable storage markets, as well as 3D XPoint memory products; and memory and storage products for the automotive, industrial, and consumer markets. It markets its products through its direct sales force, independent sales representatives, distributors, and retailers; and web-based customer direct sales channel, as well as through channel and distribution partners. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho."
888,MicroVision,MVIS,4.0,"MicroVision, Inc. develops lidar sensors used in automotive safety and autonomous driving applications. Its laser beam scanning technology is based on micro-electrical mechanical systems, laser diodes, opto-mechanics, electronics, algorithms and software. The company also develops micro-display concepts and designs for head-mounted augmented reality (AR) headsets, as well as 1440i MEMS module that can support AR headsets; Interactive Display modules used in smart speakers and other devices; and Consumer Lidar used in smart home systems. In addition, it provides PicoP, a scanning technology that creates full color, high-contrast, and uniform image over the entire field-of-view from a small and thin module. The company sells its products primarily to original equipment manufacturers and original design manufacturers. MicroVision, Inc. was founded in 1993 and is headquartered in Redmond, Washington."
890,Milestone Scientific,MLSS,4.0,"Milestone Scientific, Inc. develops computer-controlled anesthetic delivery devices for the medical and dental markets in the United States, China, and internationally. The company operates in two segments, Dental and Medical. Its products include CompuDent System that are used to control the flow rate of the anesthesia during the injection, which allows virtually painless injections for various dental procedures, including routine fillings, implants, root canals, and crowns. The company also offers CompuFlo, a computer-controlled drug delivery system for the painless delivery of drugs, anesthetics, and other medicaments, as well as for the aspiration of bodily fluids or previously injected substances; and disposable injection handpiece for the tactile control during the injection. In addition, it provides CompuFlo Epidural, a computer controlled anesthesia system for use in various medical applications; CompuFlo Intra-Articular, a computer controlled injection system for administering corticosteroids and other medicaments; and Cosmetic Botulinum Injection device for the pain free injection of botulinum toxin. Further, the company offers CompuMed for use in various medical procedures performed in plastic, hair restoration, and colorectal surgery, as well as podiatry, dermatology, orthopedics, and various other disciplines. Milestone Scientific, Inc. was incorporated in 1989 and is headquartered in Livingston, New Jersey."
891,Mimecast,MIME,4.0,"Mimecast Limited provides cloud security and risk management services for corporate information and email. The company offers Mimecast Email Security solution, which protects against the delivery of malware, malicious URLs and attachments, spam, viruses, impersonation attacks, phishing, and spear-phishing attacks, including business email compromise, identity theft, extortion, fraud, and other attacks, while also preventing data leaks and other internal threats, as well as provides awareness training services. It also provides Cyber Resilience Extensions, such as Mimecast Enterprise Information Archiving that unifies email data to support e-discovery, forensic analysis, and compliance initiatives; Mimecast Business Continuity and Sync & Recover, which protects email and data against the threat of downtime as a result of system failure, natural disasters, planned maintenance, system upgrades, and migrations; and Mimecast Web Security service that protects against malicious web activity initiated by user action or malware and blocks access to inappropriate websites based on acceptable use policies. In addition, the company's Cyber Resilience Extensions also comprise Mimecast Secure Messaging, a secure and private channel to share sensitive information; Mimecast Health Care Pack, which prevents breaches and protects against data exfiltration transmissions; and Mimecast Large File Send that enables employees to create security and compliance risks when they turn to file sharing services. Further, it offers Threat Intelligence Dashboard, which displays cyber threat data specific to an organization by identifying users who pose the greatest cyber risk; and Mimecast Mobile and Desktop Apps for mobile, PC, and Mac users, as well as engages in data center operations. The company sells its services through direct sales and channel partners. Mimecast Limited was founded in 2003 and is headquartered in London, the United Kingdom."
892,MIND C.T.I. Ltd,MNDO,4.0,"MIND C.T.I. Ltd., together with its subsidiaries, designs, develops, markets, supports, implements, and operates real-time and off-line convergent billing and customer care software solutions in the Americas, Europe, Israel, the Asia Pacific, and Africa. The company offers billing and customer care solutions that support various services, such as voice, data, and content services, as well as prepaid, postpaid, and pay-in-advance payment models in a single platform. Its solutions also include a workflow engine to support the implementation of business processes, including subscriber registration, order management, trouble ticket, and debt collection; and an integral point of sale solution that covers all dealer, store and cashier management, and sales processes. In addition, the company offers professional services comprising installation, turnkey project implementation services, customer support, training and maintenance services, software and process customization, and project management, as well as managed services, including day to day billing operational tasks to its billing and customer care customers. Further, it provides PhonEX ONE, a call management system that collects, records, and stores call information, which is used by corporations for telecom expense management, call accounting, traffic analysis, and fraud detection. Additionally, the company offers its products directly, as well as through distributors and resellers primarily to communication service providers, such as traditional wireline and wireless, voice over IP, broadband IP network operators, wireless internet service providers, LTE operators, cable operators, and mobile virtual network operators. MIND C.T.I. Ltd. was incorporated in 1995 and is headquartered in Yokne'am Illit, Israel."
